Mark.Center_Seminary.Rd,Janneys.Ln_Seminary.Rd,Janneys.Ln_King.St.Metro,Braddock.Metro_Russell.Rd,Glebe.Rd_Russell.Rd,Glebe.Rd_Pentagon.Metro,Braddock.Metro_Cameron.Mills.Dr,Cameron.Mills.Dr_Parkfairfax,Parkfairfax_Pentagon.Metro,Van.Dorn.Metro_Whiting.St,Duke.St_Whiting.St,Duke.St_King.St.Metro,King.St.Metro_Old.Town.Circulator,Braddock.Metro_Old.Town.Circulator,King.St.Metro_NVCC,Landmark_Van.Dorn.Metro,Eisenhower_Van.Dorn.Metro,Eisenhower_King.St.Metro,Commonwealth.Ave_King.St.Metro,Commonwealth.Ave_Mt.Vernon.Ave,Mt.Vernon.Ave_Potomac.Yard.Ctr,Lee.Center_Potomac.Yard.Ctr,Van.Dorn.Metro_Yoakum.Pkwy,Beauregard.St_Yoakum.Pkwy,Beauregard.St_Pentagon.Metro,Mark.Center_Menokin.Dr,Menokin.Dr_Shirlington,Glebe.Rd_Shirlington,Glebe.Rd_Potomac.Yd.Ctr,Mark.Center_Park.Place,Park.Place_Shirlington,Temperature,Bus.Size,Y
0,0,0,0,0,0,1,1,1,2,2,2,6,6,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,447.36
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,592.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,289.3
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,156.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,364.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,294.7
0,0,0,0,0,0,0,0,0,3,3,3,8,8,5,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,1,439
0,0,0,7,7,7,0,0,0,4,4,4,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,-1,223.68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,305.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,335.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,358.8
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,257.232
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,-1,-1,432.448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,312
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,485.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,331.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,1,-1,205.04
0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,2,2,2,2,1,-1,188.264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,310.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,391.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,247
0,0,0,0,0,0,0,0,0,1,1,1,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,244.184
0,0,0,4,4,4,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,529.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,298.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,305.2
0,0,0,2,2,2,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,5,5,5,2,2,2,2,0,0,-1,-1,460.408
0,0,0,0,0,0,4,4,4,2,2,2,3,3,1,0,0,0,2,2,2,1,0,0,0,0,0,1,1,1,1,-1,-1,318.744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,446.2
0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,561.9
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,642.8
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,620.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,311.5
