V1,V2,V3,V4,V5
T8,T2,T13,T7,T23
T21,T19,T4,T2,T8
T16,T8,T5,T24,T25
T7,T27,T21,T28,T18
T18,T12,T21,T22,T15
T4,T2,T15,T16,T12
T26,T24,T21,T30,T1
T7,T20,T30,T17,T3
T16,T3,T18,T28,T22
T21,T6,T24,T3,T13
T12,T9,T24,T18,T2
T9,T1,T4,T23,T28
T1,T10,T6,T12,T15
T23,T25,T12,T19,T18
T15,T6,T30,T29,T23
T5,T6,T21,T16,T19
T2,T17,T10,T21,T7
T5,T22,T18,T19,T27
T14,T23,T20,T3,T19
T24,T28,T23,T25,T10
T19,T14,T3,T29,T22
T12,T5,T11,T28,T20
T6,T28,T27,T20,T1
T21,T15,T10,T26,T5
T23,T10,T5,T17,T13
T16,T13,T7,T29,T15
T7,T19,T22,T2,T15
T6,T15,T17,T18,T7
T16,T1,T30,T19,T21
T8,T9,T26,T18,T28
T25,T21,T28,T12,T15
T4,T11,T10,T20,T7
T13,T30,T25,T2,T15
T16,T1,T29,T15,T3
T2,T12,T1,T26,T14
T15,T2,T1,T20,T6
T10,T1,T28,T11,T30
T8,T3,T5,T9,T15
T1,T14,T15,T2,T21
T21,T16,T2,T1,T28
T15,T13,T4,T1,T16
T19,T21,T6,T4,T22
T7,T6,T5,T16,T27
T7,T1,T5,T3,T19
T3,T6,T29,T23,T20
T27,T2,T1,T25,T4
T30,T9,T15,T27,T12
T28,T17,T30,T25,T13
T5,T7,T17,T8,T18
T8,T5,T26,T15,T29
T20,T21,T15,T25,T3
T17,T22,T9,T25,T29
T16,T11,T13,T2,T17
T27,T13,T1,T17,T22
T21,T3,T14,T27,T25
T9,T29,T14,T21,T6
T28,T12,T22,T20,T26
T17,T4,T14,T29,T18
T20,T8,T9,T26,T13
T22,T17,T12,T2,T26
T4,T11,T22,T15,T24
T17,T24,T2,T28,T10
T21,T10,T9,T13,T14
T1,T3,T23,T11,T17
T29,T11,T1,T27,T22
T15,T21,T22,T17,T23
T4,T30,T18,T25,T9
T25,T18,T15,T29,T8
T22,T9,T14,T23,T12
T7,T10,T16,T19,T26
T13,T11,T8,T23,T9
T29,T21,T8,T22,T6
T16,T12,T28,T25,T22
T29,T4,T5,T27,T17
T28,T26,T3,T25,T29
T6,T28,T17,T29,T25
T1,T26,T25,T12,T23
T19,T2,T28,T16,T12
T1,T27,T7,T21,T15
T28,T26,T23,T11,T17
T14,T30,T10,T9,T5
T26,T3,T30,T21,T17
T8,T6,T18,T5,T14
T21,T11,T7,T5,T25
T28,T14,T18,T9,T15
T6,T18,T24,T3,T14
T12,T26,T2,T4,T5
T25,T29,T5,T10,T14
T30,T3,T29,T22,T2
T12,T8,T7,T5,T3
T23,T2,T27,T17,T14
T15,T30,T5,T23,T20
T25,T16,T9,T10,T30
T19,T7,T1,T20,T26
T19,T8,T16,T28,T14
T30,T11,T6,T2,T5
T6,T24,T17,T26,T18
T16,T4,T2,T30,T6
T7,T1,T6,T18,T27
T15,T8,T24,T27,T16
T1,T28,T11,T8,T3
T30,T17,T18,T13,T19
T27,T1,T10,T11,T12
T19,T4,T30,T13,T28
T25,T12,T2,T27,T1
T6,T19,T25,T20,T26
T4,T5,T10,T2,T26
T9,T19,T6,T10,T13
